itemid,creatorid,creator,title,birth_year,death_year,collection,creation_date
170093,62312,"Jared French (American, 1905–1988)",Evasion,1905,1988,American - Painting,1947
92844,22965,"Maurice Denis (French, 1870–1943)",Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
130163,1643,"Jacques-Louis David (French, 1748–1825)",Young Woman with a Turban,1748,1825,P - French 18th Century,c. 1780
136509,2656,"Abraham van Beyeren (Dutch, 1620/21–1690)","Silver Wine Jug, Ham, and Fruit",1620/21,1690,P - Netherlandish-Dutch,c. 1660–66
371392,371385,"Belkis Ayón (Cuban, 1967–1999)",I Always Return,1967,1999,PR - Collagraph,"1993, printed 1994"
165186,8607,"René Lalique (French, 1860–1945)",Frogs and Lily Pads (Grenouilles et Nénuphars) Vase,1860,1945,Decorative Arts,1909–12
168133,7915,"Hughie Lee-Smith (American, 1915–1999)",Rooftop,1915,1999,American - Painting,1957
147975,449709,"Christian Goller (German, 1943–2017)",Saint Catherine,1943,2017,Mod Euro - Painting 1800-1960,early 1970s
147975,37852,"Matthias Grünewald (German, c. 1480–1528)",Saint Catherine,c. 1480,1528,Mod Euro - Painting 1800-1960,early 1970s
109042,1638,"Honoré Daumier (French, 1808–1879)",Art Lovers,1808,1879,DR - French,c. 1863
109295,1685,"Jean-Auguste-Dominique Ingres (French, 1780–1867)",Madame Désiré Raoul-Rochette,1780,1867,DR - French,1830
110565,11643,"Théodore Géricault (French, 1791–1824)",Fighting Horses,1791,1824,DR - French,c. 1820
127227,3989,"Charles Burchfield (American, 1893–1967)","Church Bells Ringing, Rainy Winter Night",1893,1967,DR - American 20th Century,Dec-17
143656,3532,"Morris Louis (American, 1912–1962)",Number 99,1912,1962,American - Painting,1959–1960
543981,543978,"Johann Zoffany (German, 1733–1810)","The Dutton Family in the Drawing Room of Sherborne Park, Gloucestershire",1733,1810,P - British before 1800,c. 1772
148963,1859,"Albert Besnard (French, 1849–1934)",Madeleine Lerolle and Her Daughter Yvonne,1849,1934,Mod Euro - Painting 1800-1960,c. 1879–80
138763,3458,"Arshile Gorky (American, c. 1904–1948)",Untitled,c. 1904,1948,American - Painting,1944
130421,56027,"John Paul Miller (American, 1918–2013)",Necklace,1918,2013,Decorative Arts,1953
115783,2490,Master of Heiligenkreuz (Austrian),Death of the Virgin,,,MED - Medieval Art,c. 1400
141168,1600,"Gustave Courbet (French, 1819–1877)","Panoramic View of the Alps, Les Dents du Midi",1819,1877,Mod Euro - Painting 1800-1960,1877
141220,1879,"Jean de Beaumetz (French, c. 1335–1396)",Calvary with a Carthusian Monk,c. 1335,1396,MED - Medieval Art,1389–1395
135432,29198,"Fachang Muqi (Chinese, 1220–1280)",Tiger,1220,1280,ASIAN - Hanging scroll,c. 1250–79
152003,18265,"Chelsea Porcelain Factory (Britain, London, 1745–84)",Hen and Chicks Covered Tureen on Stand,,,Decorative Arts,c. 1755
173263,1856,"Henri de Toulouse-Lautrec (French, 1864–1901)",Monsieur Boileau at the Café,1864,1901,DR - French,1893
157331,68231,"Hendrick Goltzius (Dutch, 1558–1617)",Standing Officer Holding a Boar's Spear,1558,1617,DR - Dutch,1586
107189,1190,"Guercino (Italian, 1591–1666)",Venus and Cupid in a Chariot,1591,1666,DR - Italian,1615–17
152588,1219,"Otto Dix (German, 1891–1969)",Josef May,1891,1969,Mod Euro - Painting 1800-1960,1926
145999,1313,"Thomas Gainsborough (British, 1727–1788)","Portrait of George Pitt, First Baron Rivers",1727,1788,P - British before 1800,1769
140001,5366,"Peter Carl Fabergé (Russian, 1846–1920)",Imperial Red Cross Easter Egg,1846,1920,Decorative Arts,1915
140001,8891,"Henrik Wigström (Russian, 1862–1923)",Imperial Red Cross Easter Egg,1862,1923,Decorative Arts,1915
140001,55332,"House of Fabergé (Russian, 1842–1918)",Imperial Red Cross Easter Egg,1842,1918,Decorative Arts,1915
111702,11939,"Antonio Canaletto (Italian, 1697–1768)",Capriccio: A Palace with a Courtyard by the Lagoon,1697,1768,DR - Italian,c. 1750–55
122347,1935,"Jean-Marc Nattier (French, 1685–1766)",Portrait of a Woman as Diana,1685,1766,P - French 18th Century,1752
150156,15830,"Carlo Bugatti (Italian, 1856–1940)",Tea and Coffee Service,1856,1940,Decorative Arts,c. 1907
150156,15899,"Adrien-Aurélien Hebrard (French, 1866–1937)",Tea and Coffee Service,1866,1937,Decorative Arts,c. 1907
135431,29198,"Fachang Muqi (Chinese, 1220–1280)",Dragon,1220,1280,ASIAN - Hanging scroll,c. 1250–79
166195,57847,"Gil de Siloé (Spanish, active c. 1475–1505)",Enthroned Virgin and Child,,1501,MED - Medieval Art,c. 1480
378931,378929,"Teresa Margolles (Mexican, b. 1963)",El manto negro / The black shroud,1963,,CONTEMP - Sculpture,2020
96263,2424,"Thomas Sully (American, 1783–1872)",Portrait of Jean Terford David,1783,1872,American - Painting,1813
111435,2772,Master of the Fröndenberg Altarpiece (German),Coronation of the Virgin,,,MED - Medieval Art,c. 1410
147020,1973,"Valentin de Boulogne (French, 1591–1632)",Samson,1591,1632,P - French 17th Century,1630–31
148966,1751,"Jean-Charles Cazin (French, 1841–1901)",The Boatyard,1841,1901,Mod Euro - Painting 1800-1960,c. 1875
119614,1171,"Michelangelo Buonarroti (Italian, 1475–1564)",Study for the Nude Youth over the Prophet Daniel (recto); Figure Studies for the Sistine Ceiling (verso),1475,1564,DR - Italian,1510–11
123431,2002,"Jean-Honoré Fragonard (French, 1732–1806)",Invocation to Love,1732,1806,DR - French,c. 1781
100824,5925,"Auguste Rodin (French, 1840–1917)","Heroic Head of Pierre de Wissant, One of the Burghers of Calais",1840,1917,Mod Euro - Sculpture 1800-1960,1886
132648,290200,"Jacques Lipchitz (French, born in Lithuania, 1891–1973)",Mother and Child,1891,1973,Mod Euro - Sculpture 1800-1960,1929–1930
142662,3959,"David Smith (American, 1906–1965)",Pilgrim,1906,1965,American - Sculpture,1957
170257,63187,"John Townsend (American, 1732–1809)",Desk and Bookcase,1732,1809,Furniture,c. 1780–95
135515,1856,"Henri de Toulouse-Lautrec (French, 1864–1901)",May Belfort,1864,1901,DR - French,1895
122345,2510,"Meindert Hobbema (Dutch, 1638–1709)",A Cottage in the Woods,1638,1709,P - Netherlandish-Dutch,c. 1662
143206,1952,"Hyacinthe Rigaud (French, 1659–1743)",Portrait of Cardinal Guillaume Dubois,1659,1743,P - French 18th Century,1723
128363,1626,"Charles François Daubigny (French, 1817–1878)",Villerville Seen from Le Ratier,1817,1878,Mod Euro - Painting 1800-1960,1855
134949,5500,"Alessandro Algardi (Italian, 1598–1654)",Portrait of Pope Innocent X Pamphili,1598,1654,Sculpture,designed 1647–48; cast 1650–1700
160133,11246,"Wang Yuan (Chinese, c. 1299-after 1366)",Quails and Sparrows in an Autumn Scene,,1371,ASIAN - Hanging scroll,1347
150841,1661,"Ernest Meissonier (French, 1815–1891)",A Painter,1815,1891,Mod Euro - Painting 1800-1960,1855
97996,57145,"Longton Hall Porcelain Factory (British, Staffordshire, 1749–60)",Figure of Britannia,,,Decorative Arts,c. 1756
97996,343599,"Vauxhall Porcelain Factory (British, 1751–1764)",Figure of Britannia,1751,1764,Decorative Arts,c. 1756
134237,2071,Carolino da Viterbo (Italian),Virgin and Child with Saint Jerome and Saint Catherine of Alexandria,,,MED - Medieval Art,c. 1450
144968,2816,"Sanford Robinson Gifford (American, 1823–1880)",A Home in the Wilderness,1823,1880,American - Painting,1866
134951,11603,"Fra Bartolommeo (Italian, 1472–1517)",Farmhouse on the Slope of a Hill,1472,1517,DR - Italian,c. 1508
135238,1759,"Edgar Degas (French, 1834–1917)",Paul Lafond and Alphonse Cherfils Examining a Painting,1834,1917,Mod Euro - Painting 1800-1960,c. 1878–80
143278,3204,"Piet Mondrian (Dutch, 1872–1944)","Composition with Red, Yellow, and Blue",1872,1944,Mod Euro - Painting 1800-1960,1927
150083,1824,"James Tissot (French, 1836–1902)",Seaside (July: Specimen of a Portrait),1836,1902,Mod Euro - Painting 1800-1960,1878
125895,2614,"Frans Hals (Dutch, c. 1581–1666)","Portrait of a Woman, probably Aeltje Dircksdr. Pater",c. 1581,1666,P - Netherlandish-Dutch,1638
162282,18195,"Grant Wood (American, 1891–1942)",January,1891,1942,American - Painting,1940–41
144967,2813,"Martin Johnson Heade (American, 1819–1904)","Point Judith, Rhode Island",1819,1904,American - Painting,1867–68
139729,1991,"Jean Bernard Restout (French, 1732–1797)",Sleep,1732,1797,P - French 18th Century,c. 1771
152006,1313,"Thomas Gainsborough (British, 1727–1788)","Rocky, Wooded Landscape with a Dell and Weir",1727,1788,P - British before 1800,c. 1782–1783
128056,11823,"Royal Savonnerie Manufactory, Chaillot Workshops (French, est. 1627)",Louis XV Savonnerie Carpet with Royal Arms,,1825,Textiles,c. 1740–50
128056,33373,Pierre Josse Perrot (French),Louis XV Savonnerie Carpet with Royal Arms,,,Textiles,c. 1740–50
127115,1776,"Paul Gauguin (French, 1848–1903)",Head of a Tahitian Woman,1848,1903,DR - French,1891
152776,2160,"Pablo Picasso (Spanish, 1881–1973)","Bull Skull, Fruit, Pitcher",1881,1973,Mod Euro - Painting 1800-1960,1939
137195,1873,"Claude Lorrain (French, 1604–1682)",Rest on the Flight into Egypt,1604,1682,P - French 17th Century,early 1640s
153396,3965,"Richard Stankiewicz (American, 1922–1983)",Untitled,1922,1983,CONTEMP - Sculpture,1961
137121,6274,"Chen Hongshou (Chinese, 1598/99–1652)",Lady Xuanwen Giving Instruction on the Rites of Zhou,1598/99,1652,ASIAN - Hanging scroll,1638
161789,9589,"Frank Stella (American, b. 1936)",Çatal Hüyük (level VI B) Shrine VI B.1,1936,,CONTEMP - Sculpture,2001
129221,1856,"Henri de Toulouse-Lautrec (French, 1864–1901)",The Laundress,1864,1901,DR - French,1888
135341,1816,"Georges Seurat (French, 1859–1891)",At the Concert Parisien,1859,1891,DR - French,1887–88
145473,1882,"Laurent de La Hyre (French, 1606–1656)",The Kiss of Peace and Justice,1606,1656,P - French 17th Century,1654
136294,3140,"Lyonel Feininger (American, 1871–1956)",Markwippach,1871,1956,American - Painting,1917
153664,6359,"Kim Si (Korean, 1524–1593)",Snowscape with Figures,1524,1593,ASIAN - Hanging scroll,1584
161701,18616,"Viktor Schreckengost (American, 1906–2008)",The New Yorker (Jazz) Bowl,1906,2008,Decorative Arts,c. 1930
161701,25744,"Cowan Pottery Studio (American, Ohio, Rocky River, 1912–1931)",The New Yorker (Jazz) Bowl,,,Decorative Arts,c. 1930
154244,2810,"Ferdinand Georg Waldmüller (Austrian, 1793–1865)",Countess Széchenyi,1793,1865,Mod Euro - Painting 1800-1960,1828
135512,1816,"Georges Seurat (French, 1859–1891)",Study for "Bathers at Asnières",1859,1891,Mod Euro - Painting 1800-1960,c. 1883–84
148849,10924,"Psiax (Greek, Attic, active c. 525–505 BCE)","Red-Figure Eye Cup: Warriors (A), Musician and Youths (B)",,,GR - Greek,c. 520 BCE
148849,379282,Group of Leipzig T 3599,"Red-Figure Eye Cup: Warriors (A), Musician and Youths (B)",-590,-500,GR - Greek,c. 520 BCE
157501,2082,"Annibale Carracci (Italian, c. 1560–1609)",Boy Drinking,c. 1560,1609,P - Italian 16th & 17th Century,1582–83
136390,1180,"Federico Barocci (Italian, 1528–1612)",Aeneas Saving Anchises at the Fall of Troy,1528,1612,DR - Italian,1587–88
143234,2676,"Jacob van Ruisdael (Dutch, 1628/29–1682)","Landscape with a Windmill
",1628/29,1682,P - Netherlandish-Dutch,1646
90541,2160,"Pablo Picasso (Spanish, 1881–1973)",Head (Tête),1881,1973,Mod Euro - Painting 1800-1960,1926
127953,1773,"James Ensor (Belgian, 1860–1949)",The Garden of the Rousseau Family,1860,1949,Mod Euro - Painting 1800-1960,1885
150161,15830,"Carlo Bugatti (Italian, 1856–1940)",Coffee Pot,1856,1940,Decorative Arts,c. 1907
150161,15899,"Adrien-Aurélien Hebrard (French, 1866–1937)",Coffee Pot,1866,1937,Decorative Arts,c. 1907
168194,58428,"Pedro de Mena (Spanish, 1628–1688)",Saint Peter of Alcántara,1628,1688,Sculpture,c. 1663–1670
168194,34768,Workshop,Saint Peter of Alcántara,,,Sculpture,c. 1663–1670
117766,1198,"Giovanni Battista Piazzetta (Italian, 1682–1754)",A Young Woman Buying a Pink from a Young Man,1682,1754,DR - Italian,c. 1740
149408,2157,"Joan Miró (Spanish, 1893–1983)",Nocturne,1893,1983,Mod Euro - Painting 1800-1960,1935
143772,2662,"Asher Brown Durand (American, 1796–1886)",Trees on a Rocky Hillside,1796,1886,American - Painting,c. 1849
131583,1251,"Peter Paul Rubens (Flemish, 1577–1640)",The Feast of Herod (recto) Tomyris with the Head of Cyrus (verso),1577,1640,DR - Flemish,c. 1637–38
107008,1888,"François Boucher (French, 1703–1770)",The Presentation in the Temple,1703,1770,DR - French,c. 1770
95259,1658,"Eugène Delacroix (French, 1798–1863)",Greek Cavalry Men Resting in Forest,1798,1863,Mod Euro - Painting 1800-1960,1858
112856,48707,"Rogier van der Weyden (Flemish, c. 1399–1464)",The Crucifixion with a Carthusian Monk,c. 1399,1464,MED - Medieval Art,c. 1460
150157,15830,"Carlo Bugatti (Italian, 1856–1940)",Tray,1856,1940,Decorative Arts,c. 1907
150157,15899,"Adrien-Aurélien Hebrard (French, 1866–1937)",Tray,1866,1937,Decorative Arts,c. 1907
150158,15830,"Carlo Bugatti (Italian, 1856–1940)",Creamer,1856,1940,Decorative Arts,c. 1907
150158,15899,"Adrien-Aurélien Hebrard (French, 1866–1937)",Creamer,1866,1937,Decorative Arts,c. 1907
150159,15830,"Carlo Bugatti (Italian, 1856–1940)",Covered Sugar Bowl,1856,1940,Decorative Arts,c. 1907
150159,15899,"Adrien-Aurélien Hebrard (French, 1866–1937)",Covered Sugar Bowl,1866,1937,Decorative Arts,c. 1907
150160,15830,"Carlo Bugatti (Italian, 1856–1940)",Tea Pot,1856,1940,Decorative Arts,c. 1907
150160,15899,"Adrien-Aurélien Hebrard (French, 1866–1937)",Tea Pot,1866,1937,Decorative Arts,c. 1907
394840,41147,"Marguerite Zorach (American, 1887–1968)",The Family (In Memory of a Summer in the White Mountains),1887,1968,Textiles,1917
162323,8694,"Max Ernst (German, 1891–1976)",Le Déjeuner sur l'Herbre,1891,1976,Mod Euro - Painting 1800-1960,1944
108809,3053,"Emil Carlsen (American, 1848–1932)",Wood Interior,1848,1932,American - Painting,c. 1910
296869,356976,"Clara Wolcott Driscoll (American, 1861–1944)",Peony Floor Lamp with a Bamboo Base,1861,1944,Decorative Arts,c. 1905–10
296869,292194,"Tiffany Studios (America, New York, 1902–1932)",Peony Floor Lamp with a Bamboo Base,,,Decorative Arts,c. 1905–10
402987,402954,"Zilia Sánchez (Cuban, b. 1926)",Troyanas (de la serie Módulos Infinitos) (Trojan Women [of the Infinite Module series]),1926,,Paintings,1964/1993
109147,1748,"Odilon Redon (French, 1840–1916)",Closed Eyes,1840,1916,PR - Lithograph,1890
109147,61664,Becquet (French),Closed Eyes,,,PR - Lithograph,1890
130937,2324,"Bernardo Strozzi (Italian, 1581?-1644)",Allegorical Figure,1581?,1644,DR - Italian,c. 1635
153389,2844,"Frederic Leighton (British, 1830–1896)","David:  ""Oh, that I had wings like a Dove!  For then would I fly away, and be at rest."" Psalm 55:6",1830,1896,Mod Euro - Painting 1800-1960,1865
145960,2819,"Hans Holbein the Younger (German, active England and Switzerland, 1497/98–1543)","Terminus, the Device of Erasmus",1497,1543,P - German before 1800,c. 1532
102549,8012,"Benedetto Buglioni (Italian, 1461–1521)",Virgin and Child Enthroned with Saints Francis and Giovanni Gualberto,1461,1521,Sculpture,c. 1510–20
155647,235,"Ilse Bing (American, 1899–1998)","Paris Windows with Flags, Bastille Day",1899,1998,PH - American 1900-1950,1933
140427,10118,Jean de Clichy (French),Kneeling Prophet from the Reliquary Chasse of Saint-Germain-des-Prés,,,MED - Gothic,1409
140427,10121,Gauthier du Four (French),Kneeling Prophet from the Reliquary Chasse of Saint-Germain-des-Prés,,,MED - Gothic,1409
140427,10124,Guillaume Boey (French),Kneeling Prophet from the Reliquary Chasse of Saint-Germain-des-Prés,,,MED - Gothic,1409
93149,356976,"Clara Wolcott Driscoll (American, 1861–1944)",Peacock Table Lamp,1861,1944,Decorative Arts,c. 1902
93149,292194,"Tiffany Studios (America, New York, 1902–1932)",Peacock Table Lamp,,,Decorative Arts,c. 1902
155822,2841,"Jeptha Homer Wade (American, 1811–1890)",Nathaniel Olds,1811,1890,American - Cleveland School,1837
135469,1748,"Odilon Redon (French, 1840–1916)",Vase of Flowers,1840,1916,DR - French,1916
141932,5500,"Alessandro Algardi (Italian, 1598–1654)",Baptism of Christ,1598,1654,Sculpture,"designed 1645–46, probably made 1650–55"
143392,3505,"Franz Kline (American, 1910–1962)",Accent Grave,1910,1962,American - Painting,1955
129250,11823,"Royal Savonnerie Manufactory, Chaillot Workshops (French, est. 1627)",Panel: Spring,,1825,Textiles,c. 1715
121946,2501,"Peter Lely (British, 1618–1680)",Portrait of Mrs. Leneve,1618,1680,P - British before 1800,c. 1657
108541,2391,"El Greco (Spanish, 1541–1614)",The Holy Family with Mary Magdalen,1541,1614,P - Spanish before 1800,c. 1590–1595
110060,14067,"Jean Antoine Watteau (French, 1684–1721)",Study for "The Romancer" (Le Conteur),1684,1721,DR - French,c. 1716
170082,10505,"Henry Church (American, 1836–1908)",Self-Portrait with Five Muses,1836,1908,American - Cleveland School,c. 1880
141169,4663,"Giambologna (Flemish, active Italy, 1529–1608)",Mars,1529,1608,Sculpture,c. 1584–87
156896,379301,Bisenzio Class,Italo-Geometric Bird Askos (Oil Vessel): Hunter (Herakles?) and Stag,,,GR - Etruscan,c. 700 BCE
111066,24420,"Domenico Campagnola (Italian, 1500–1564)",Saint Jerome in a Landscape,1500,1564,DR - Italian,c. 1530
128072,1865,"Berthe Morisot (French, 1841–1895)",Reading,1841,1895,Mod Euro - Painting 1800-1960,1873
135445,2160,"Pablo Picasso (Spanish, 1881–1973)",Woman with a Cape,1881,1973,Mod Euro - Painting 1800-1960,early 1901
134789,31469,"Zhao Guangfu (Chinese, c. 923–976)",Barbarian Royalty Worshiping the Buddha,917,981,ASIAN - Handscroll,900s
143617,3831,"Lee Bontecou (American, 1931–2022)",Untitled,1931,2022,CONTEMP - Sculpture,1961
156113,15830,"Carlo Bugatti (Italian, 1856–1940)",Salver,1856,1940,Decorative Arts,c. 1907
156113,15899,"Adrien-Aurélien Hebrard (French, 1866–1937)",Salver,1866,1937,Decorative Arts,c. 1907
163551,3104,"Marsden Hartley (American, 1877–1943)",New Mexico Recollection,1877,1943,American - Painting,c. 1923
162293,6371,"Louise Bourgeois (American, 1911–2010)",Blind Man's Buff,1911,2010,CONTEMP - Sculpture,1984
162294,6371,"Louise Bourgeois (American, 1911–2010)",Blind Man's Buff (base),1911,2010,CONTEMP - Sculpture,1984
143140,2732,"David Johnson (American, 1827–1908)","Study, North Conway, New Hampshire",1827,1908,American - Painting,1851
162295,42162,"Fulchran Jean Harriet (French, 1778–1805)",Oedipus at Colonus,1778,1805,P - French 18th Century,1798
142605,3606,"Robert Rauschenberg (American, 1925–2008)",Gloria,1925,2008,American - Painting,1956
300947,301380,"Heinrich Davringhausen (German, 1894–1970)",Der Krieg,1894,1970,Mod Euro - Painting 1800-1960,1914
149978,2409,"John Singleton Copley (American, 1738–1815)",Anna Dummer Powell,1738,1815,American - Painting,1764
162336,19502,"Martin Puryear (American, b. 1941)",Alien Huddle,1941,,CONTEMP - Sculpture,1993–95
159309,1999,"Joseph-Marie Vien (French, 1716–1809)",Sweet Melancholy,1716,1809,P - French 18th Century,1756
143761,2741,"Stefan Lochner (German, 1400-c. 1452)",The Virgin Crowned by Angels,1400,1452,MED - Medieval Art,c. 1450
97157,2068,"Olivuccio di Ciccarello (Italian, Marche, 1360/65–1439)",The Madonna of Humility with the Temptation of Eve,1360/65,1439,MED - Medieval Art,c. 1400
109138,1748,"Odilon Redon (French, 1840–1916)",Melancholy,1840,1916,DR - French,c. 1868
115394,2487,Konrad Laib (German),Adoration of the Magi,,,MED - Medieval Art,early 1440s
101646,3995,"Mary Cassatt (American, 1844–1926)",After the Bath,1844,1926,DR - American 19th Century,1901
131338,1280,"Joseph Mallord William Turner (British, 1775–1851)","Flüelen, from the Lake of Lucerne",1775,1851,DR - British,1845
132416,2160,"Pablo Picasso (Spanish, 1881–1973)",Reclining Nude (Fernande),1881,1973,DR - Spanish,1906
154817,941,"Edward Steichen (American, 1879–1973)",Rodin - The Thinker,1879,1973,PH - American 1900-1950,1902
149405,306250,"Berlin Painter (Greek, Attic, active c. 505–460 BC)",Red-Figure Lekythos (Oil Vessel): Athena Slaying Giant (body); Satyr between Maenads (shoulder),-540,-445,GR - Greek,c. 490 BCE
149405,306248,"Painter of Goluchow 37 (Greek, Attic, active c. 490–460 BC)",Red-Figure Lekythos (Oil Vessel): Athena Slaying Giant (body); Satyr between Maenads (shoulder),-530,-450,GR - Greek,c. 490 BCE
167142,26343,"Gustave Caillebotte (French, 1848–1894)",Portrait of a Man,1848,1894,Mod Euro - Painting 1800-1960,1880
153339,63855,Yeoseol (Korean),Winter Landscape,,,ASIAN - Hanging scroll,1500s
307326,44735,"Carlo Maratti (Italian, 1625–1713)",Portrait of Francesca Gommi Maratti,1625,1713,P - Italian 16th & 17th Century,c. 1701
130160,3110,"Childe Hassam (American, 1859–1935)",Fifth Avenue,1859,1935,American - Painting,1919
143477,2729,"John Frederick Kensett (American, 1816–1872)",An October Day in the White Mountains,1816,1872,American - Painting,1854
124078,1588,"Jean Baptiste Camille Corot (French, 1796–1875)",Pond at Ville-d'Avray,1796,1875,Mod Euro - Painting 1800-1960,late 1860s
95271,1759,"Edgar Degas (French, 1834–1917)",Dancers,1834,1917,DR - French,c. 1896
142749,8891,"Henrik Wigström (Russian, 1862–1923)",Miniature Bathroom Chair (Bidet),1862,1923,Decorative Arts,1908–17
142749,55332,"House of Fabergé (Russian, 1842–1918)",Miniature Bathroom Chair (Bidet),1842,1918,Decorative Arts,1908–17
113945,6215,"Mi Youren (Chinese, 1072–1151)",Cloudy Mountains,1072,1151,ASIAN - Handscroll,1130
126219,11620,"Albrecht Altdorfer (German, c. 1480–1538)",Salome with the Head of St. John the Baptist,c. 1480,1538,DR - German,c. 1517
169684,60227,"Elisabeth Louise Vigée-LeBrun (French, 1755–1842)",Portrait of Jean-Baptiste Lemoyne the Younger,1755,1842,P - French 18th Century,1774
370537,16855,"Quezal Art Glass and Decorating Company (American, 1901–1924)",Jack-in-the-Pulpit Vase,,,Decorative Arts,c. 1900–1920
153611,3228,"Georgia O'Keeffe (American, 1887–1986)","Cliffs Beyond Abiquiu, Dry Waterfall",1887,1986,American - Painting,1943
143644,2088,"Bernardo Cavallino (Italian, 1616–1656)",Adoration of the Shepherds,1616,1656,P - Italian 16th & 17th Century,c. 1650
156294,3134,"Arthur Dove (American, 1880–1946)",Pine Tree,1880,1946,American - Painting,1931
127573,2520,"Rembrandt van Rijn (Dutch, 1606–1669)",A Bearded Man Wearing a Hat,1606,1669,P - Netherlandish-Dutch,c. 1655–60
156048,3555,"Agnes Martin (American, 1912–2004)",The City,1912,2004,CONTEMP - Painting,1966
138393,541652,K’in Lakam Chahk,Panel with Royal Woman,,,AA - Mesoamerica,c. 795
138393,541655,Jun Nat Omootz,Panel with Royal Woman,,,AA - Mesoamerica,c. 795
106092,10960,"Pig Painter (Greek, Attic, active c. 480–460 BCE)",Red-Figure Column Krater (Mixing Vessel): Komos (Revel),,,GR - Greek,470–460 BCE
122223,2181,"Giovanni di Paolo (Italian, c. 1403–1482)",The Adoration of the Magi,c. 1403,1482,MED - Medieval Art,1440–45
112586,24423,"Giulio Campagnola (Italian, 1482–1515)",Venus Reclining in a Landscape,1482,1515,PR - Engraving,c. 1508–9
117774,1927,"Jean-Baptiste Pater (French, 1695–1736)",Dancers in a Pavilion,1695,1736,P - French 18th Century,1720s
142723,5366,"Peter Carl Fabergé (Russian, 1846–1920)",Lapis Lazuli Easter Egg,1846,1920,Decorative Arts,c. 1885–90
142723,55332,"House of Fabergé (Russian, 1842–1918)",Lapis Lazuli Easter Egg,1842,1918,Decorative Arts,c. 1885–90
139727,2085,"Caterino Veneziano (Italian, active 1362–82)",Madonna of Humility,,,MED - Medieval Art,late 1370s
95883,10185,"Antonio Missaglia (Italian, 1416/17–1495/96)",War Hat (or Kettle Hat),1416,1496,MED - Arms & Armor,c. 1475–1500
443541,4391,"Max Bohm (American, 1868–1923)",Lucy,1868,1923,American - Cleveland School,1909
117028,1185,"Giovanni Domenico Tiepolo (Italian, 1727–1804)",A Spring Shower,1727,1804,DR - Italian,1790s-1804
135456,2160,"Pablo Picasso (Spanish, 1881–1973)",The Harem ,1881,1973,Mod Euro - Painting 1800-1960,Spring-summer 1906
141602,2157,"Joan Miró (Spanish, 1893–1983)",Woman with Blond Armpit Combing Her Hair by the Light of the Stars  (recto)  Figure (verso),1893,1983,DR - Spanish,1940
144844,2520,"Rembrandt van Rijn (Dutch, 1606–1669)",Tobias Healing His Father's Blindness,1606,1669,DR - Dutch,c. 1640–45
94966,2409,"John Singleton Copley (American, 1738–1815)",Catherine Greene,1738,1815,American - Painting,1769
150488,8607,"René Lalique (French, 1860–1945)",Lily of the Valley Comb,1860,1945,Decorative Arts,c. 1900
150115,1896,"Jean-Siméon Chardin (French, 1699–1779)","Kitchen Utensils with Leeks, Fish, and Eggs",1699,1779,P - French 18th Century,c. 1734
141929,2400,"Bartolomé Esteban Murillo (Spanish, 1617–1682)",Laban Searching for his Stolen Household Gods,1617,1682,P - Spanish before 1800,c. 1665–1670
95914,443154,"Jaspar Bongen the Younger (German, active late 1600s)",Hanger (Hunting Sword),,,MED - Arms & Armor,late 1600s
122346,2515,"Thomas Lawrence (British, 1769–1830)",Portrait of Charlotte and Sarah Carteret-Hardy,1769,1830,Mod Euro - Painting 1800-1960,1801
172659,1759,"Edgar Degas (French, 1834–1917)",Dancer Looking at the Sole of her Right Foot,1834,1917,Mod Euro - Sculpture 1800-1960,1896–97
173998,10422,"Robert Colescott (American, 1925–2009)",Tea for Two (The Collector),1925,2009,CONTEMP - Painting,1980
294155,1257,"William Blake (British, 1757–1827)",St. Matthew,1757,1827,P - British before 1800,1799
142773,55332,"House of Fabergé (Russian, 1842–1918)",Kremlin Tower Clock,1842,1918,Decorative Arts,c. 1913
151818,5467,"Peter Flötner (German, 1485–1546)",Cupid Complaining to Venus,1485,1546,Sculpture,c. 1540–1546
168529,60124,"Richard Barnes (American, b. 1953)","Flayed Man, Museum of Comparative Anatomy, Paris",1953,,PH - American 1951-Present,2005
166197,7591,"Valerio Belli (Italian, c. 1468–1546)","Mars, Minerva, Venus, and Cupid",c. 1468,1546,Sculpture,early 1500s
139817,5512,"Giovanni Francesco Rustici (Italian, 1474–1554)",Model for a Fallen Warrior,1474,1554,Sculpture,c. 1520
135262,1759,"Edgar Degas (French, 1834–1917)",Before the Race,1834,1917,DR - French,c. 1887–89
135595,22778,"Zhang Wo (Chinese, active c.1336–after 1364)",Nine Songs,,1369,ASIAN - Handscroll,1361
135595,22781,"Chu Huan (Chinese, active 1361)",Nine Songs,1361,,ASIAN - Handscroll,1361
97160,2043,"Neri de Bicci (Italian, 1419–1491)",Virgin and Child with Angels,1419,1491,MED - Medieval Art,after 1460
124076,62778,"Fra Angelico (Italian, 1400–1455)",Coronation of the Virgin,1400,1455,MED - Medieval Art,1420s
135407,8212,"Perugino (Italian, c. 1450/55–1523)",Saint Sebastian,1450,1523,DR - Italian,c. 1493
169545,295457,"Yi Taek-gyun (Korean, 1808-after 1883)",Books and Scholars’ Accouterments,1808,after 1883,ASIAN - Folding screen,late 1800s
